Product,Variant,Price,Handle,Variant ID,Availability,SKU,Product URL,Scraped at,Description,Hollistic Description
Catina - Duvet Set,"King / Cream, King / White",7995.0,catina-duvet-set,"46971939029283, 46971939127587",True,"672b94599c9ab, 672b945a57afe",https://hebalinens.com/products/catina-duvet-set,2026/02/01 03:58:27 PM,Snuggle up in luxury with Catina's Duvet Set. Our Catina bedding is crafted with 100% Fine Egyptian Giza Cotton Percale for a silky-soft feel that will make you drift off into a peaceful sleep. Experience heavenly comfort with Catina's 200 TC fabric and make your bedroom a relaxing haven. Set consists of: 1 embroidered duvet cover 2 embroidered pillow cases 2 plain pillow cases 1 flat sheet,"Catina - Duvet Set - King / Cream, King / White: Snuggle up in luxury with Catina's Duvet Set. Our Catina bedding is crafted with 100% Fine Egyptian Giza Cotton Percale for a silky-soft feel that will make you drift off into a peaceful sleep. Experience heavenly comfort with Catina's 200 TC fabric and make your bedroom a relaxing haven. Set consists of: 1 embroidered duvet cover 2 embroidered pillow cases 2 plain pillow cases 1 flat sheet"
Catina - Sheet Set,"King / Cream, King / White",6295.0,catina-sheet-set,"46971974746403, 46971974811939",True,"672b945aeb17e, 672b945ba9bdf",https://hebalinens.com/products/catina-sheet-set,2026/02/01 03:58:42 PM,"Step into luxury with Catina - the unique, culture-infused bedding! Crafted using only the softest 100% Fine Egyptian Giza Cotton Percale with 200 TC, this sheet set will make every night feel like a dream. Enjoy a touch of class with Catina! Set consists of: 1 embroidered top sheet 2 embroidered pillow cases 2 plain pillow cases 1 flat sheet","Catina - Sheet Set - King / Cream, King / White: Step into luxury with Catina - the unique, culture-infused bedding! Crafted using only the softest 100% Fine Egyptian Giza Cotton Percale with 200 TC, this sheet set will make every night feel like a dream. Enjoy a touch of class with Catina! Set consists of: 1 embroidered top sheet 2 embroidered pillow cases 2 plain pillow cases 1 flat sheet"
Catina - Towel Set,"Cream, White",1995.0,catina-towel-set,"46972020850979, 46972020949283",True,"672b945ae006a, 672b945b977f6",https://hebalinens.com/products/catina-towel-set,2026/02/01 03:58:12 PM,"Experience the unique culture of Catina with this luxurious towel set! Crafted from 100% cotton terry, these towels are exceptionally soft and absorbent – perfect for use in the bath, kitchen, or beach. Experience luxury and comfort with Catina. Set consists of 1 Bath towel 2 Hand towels","Catina - Towel Set - Cream, White: Experience the unique culture of Catina with this luxurious towel set! Crafted from 100% cotton terry, these towels are exceptionally soft and absorbent – perfect for use in the bath, kitchen, or beach. Experience luxury and comfort with Catina. Set consists of 1 Bath towel 2 Hand towels"
Cherry - Table Cloth,"2.75 L x 1.8 W  with 8 Napkin / White, 2.75 L x 1.8 W  with 8 Napkin / Cream",16295.0,table-cloth-cherry,"46344833761571, 46344833794339",False,"672b945be09d6, 672b945b1cd25",https://hebalinens.com/products/table-cloth-cherry,2026/02/01 03:58:36 PM,"Elevate your dining experience with the Cherry - Table Cloth! Adorned with elegant little flowers, this premium 100% linen table cloth will bring beauty and grace to any setting. Enjoy a luxurious table presentation that will impress your guests!","Cherry - Table Cloth - 2.75 L x 1.8 W  with 8 Napkin / White, 2.75 L x 1.8 W  with 8 Napkin / Cream: Elevate your dining experience with the Cherry - Table Cloth! Adorned with elegant little flowers, this premium 100% linen table cloth will bring beauty and grace to any setting. Enjoy a luxurious table presentation that will impress your guests!"
Cherry - Table Cloth,"3.25 L x 1.8 W with 10 Napkin / White, 3.25 L x 1.8 W with 10 Napkin / Cream",19495.0,table-cloth-cherry,"46344833827107, 46344833859875",True,"672b945d58e02, 672b945ca81af",https://hebalinens.com/products/table-cloth-cherry,2026/02/01 03:58:36 PM,"Elevate your dining experience with the Cherry - Table Cloth! Adorned with elegant little flowers, this premium 100% linen table cloth will bring beauty and grace to any setting. Enjoy a luxurious table presentation that will impress your guests!","Cherry - Table Cloth - 3.25 L x 1.8 W with 10 Napkin / White, 3.25 L x 1.8 W with 10 Napkin / Cream: Elevate your dining experience with the Cherry - Table Cloth! Adorned with elegant little flowers, this premium 100% linen table cloth will bring beauty and grace to any setting. Enjoy a luxurious table presentation that will impress your guests!"
Croisee - Duvet Set,"White*Khaki / King, White*Petroleum / King",8495.0,croisee-duvet-set,"46971842167075, 47005582819619",True,"672b958923c75, 672b9589ef7af",https://hebalinens.com/products/croisee-duvet-set,2026/02/01 03:58:39 PM,"Sleep in luxurious comfort with Croisee's Duvet Set. Crafted from the finest Egyptian Giza Cotton Percale 200 TC and designed with croisse patterning, you'll drift off into a blissful sleep. Enjoy a restful night and wake up feeling refreshed and energized! Set consists of: 1 embroidered duvet cover 2 embroidered pillow cases 2 plain pillow cases 1 flat sheet","Croisee - Duvet Set - White*Khaki / King, White*Petroleum / King: Sleep in luxurious comfort with Croisee's Duvet Set. Crafted from the finest Egyptian Giza Cotton Percale 200 TC and designed with croisse patterning, you'll drift off into a blissful sleep. Enjoy a restful night and wake up feeling refreshed and energized! Set consists of: 1 embroidered duvet cover 2 embroidered pillow cases 2 plain pillow cases 1 flat sheet"
Croisee - Sheet Set,"White*Khaki / King, White*petroleum / King",6495.0,croisee-sheet-set,"46971874017571, 47005579870499",True,"672b958a6da2a, 672b958b35baf",https://hebalinens.com/products/croisee-sheet-set,2026/02/01 03:58:28 PM,"Discover the luxury and comfort of the Croisee Sheet Set! Crafted with 100% fine Egyptian Giza Cotton Satin 600 TC, it provides superior breathability and softness with an irresistibly smooth feel. Add an exquisite touch to your bedding experience and enjoy a perfect night's sleep! Set consists of: 1 embroidered top sheet 2 embroidered pillow cases 2 plain pillow cases 1 flat sheet","Croisee - Sheet Set - White*Khaki / King, White*petroleum / King: Discover the luxury and comfort of the Croisee Sheet Set! Crafted with 100% fine Egyptian Giza Cotton Satin 600 TC, it provides superior breathability and softness with an irresistibly smooth feel. Add an exquisite touch to your bedding experience and enjoy a perfect night's sleep! Set consists of: 1 embroidered top sheet 2 embroidered pillow cases 2 plain pillow cases 1 flat sheet"
Croisse - Bath Mat Set,"White*Khaki, White*Petroleum",4295.0,croisse-bath-mat-set,"46867849150755, 46867849183523",True,"672b958a677f9, 672b958b292d6",https://hebalinens.com/products/croisse-bath-mat-set,2026/02/01 03:58:57 PM,"Experience luxury and comfort with Croisse's Bath Mat Set. These soft and absorbent 100% cotton mats provide a spa-like experience. With a lightly padded layer and stylish minimalistic embroidery, you'll enjoy a cozy, clean, and calming bathroom retreat. Set consists of: 2 rectangular bathmats 2 rounded side bathmats","Croisse - Bath Mat Set - White*Khaki, White*Petroleum: Experience luxury and comfort with Croisse's Bath Mat Set. These soft and absorbent 100% cotton mats provide a spa-like experience. With a lightly padded layer and stylish minimalistic embroidery, you'll enjoy a cozy, clean, and calming bathroom retreat. Set consists of: 2 rectangular bathmats 2 rounded side bathmats"
Croisse - Guest Towel Set,"White x Khaki, White x Petroleum",495.0,croisse-guest-towel-set,"47067711897891, 47067711930659",True,"672b958d77fde, 672b958e3d5a7",https://hebalinens.com/products/croisse-guest-towel-set,2026/02/01 03:58:45 PM,"Dive deep into luxury with the Croisse Guest Towel Set! Crafted with 100% cotton terry cloth, these towels bring a touch of culture to your bath. Pamper guests with the exemplary softness and absorbency of this high-quality set. Enjoy a luxurious spa experience at home!  Guest Towel Set consists of: 3face towels","Croisse - Guest Towel Set - White x Khaki, White x Petroleum: Dive deep into luxury with the Croisse Guest Towel Set! Crafted with 100% cotton terry cloth, these towels bring a touch of culture to your bath. Pamper guests with the exemplary softness and absorbency of this high-quality set. Enjoy a luxurious spa experience at home!  Guest Towel Set consists of: 3face towels"
Croisse - Towel Set,"White*Khaki, White*Petroleum",2195.0,croisse-towel-set,"46867856458019, 46867856687395",True,"672b959075460, 672b95914201d",https://hebalinens.com/products/croisse-towel-set,2026/02/01 03:58:47 PM,"Soft and luxurious, the Croisse Towel Set is crafted with 100% cotton for a plush feel. Perfect for a spa-like experience, the set is finished with minimal embroidery for a touch of sophistication. Enjoy a luxurious bath time with this delightful towel set. Set consists of 1 Bath towel 2 Hand towels","Croisse - Towel Set - White*Khaki, White*Petroleum: Soft and luxurious, the Croisse Towel Set is crafted with 100% cotton for a plush feel. Perfect for a spa-like experience, the set is finished with minimal embroidery for a touch of sophistication. Enjoy a luxurious bath time with this delightful towel set. Set consists of 1 Bath towel 2 Hand towels"
Darawesh - Kaftan,Cream,3495.0,darawesh-kaftan,46881198375203,True,672b959649f5a,https://hebalinens.com/products/darawesh-kaftan,2026/02/01 03:58:56 PM,"Discover the unique beauty of Darawesh with this stunning kaftan! With the highest quality Cotton, the traditional look expresses an authentic and local heritage that is centuries old. Experience the wonder of Darawesh with every wear!","Darawesh - Kaftan - Cream: Discover the unique beauty of Darawesh with this stunning kaftan! With the highest quality Cotton, the traditional look expresses an authentic and local heritage that is centuries old. Experience the wonder of Darawesh with every wear!"
Effect - Bath Mat Set,"White, Silver",3995.0,effect-bathmat-set,"46336987463971, 46339612377379",True,"672b95972def1, 672b9596703af",https://hebalinens.com/products/effect-bathmat-set,2026/02/01 03:58:53 PM,"Featuring minimalistic small crosses, this set is crafted from 100% cotton towels with soft padding for long-lasting comfort. Refresh your bathroom with this unique, eye-catching design and enjoy the sumptuous softness under your feet! Set consists of: 2 rectangular bathmats 2 rounded side bathmats ","Effect - Bath Mat Set - White, Silver: Featuring minimalistic small crosses, this set is crafted from 100% cotton towels with soft padding for long-lasting comfort. Refresh your bathroom with this unique, eye-catching design and enjoy the sumptuous softness under your feet! Set consists of: 2 rectangular bathmats 2 rounded side bathmats "
Effect - Bath robe,"White / Fits up to large, Cream / Fits up to large",3245.0,effect-bath-robe,"47068001403171, 47068001435939",False,"672b959a18e11, 672b95995a516",https://hebalinens.com/products/effect-bath-robe,2026/02/01 03:58:48 PM,Luxury and comfort combine in Effect bath robe made with plush 100% cotton terry towels. Wrap yourself in cozy warmth after a relaxing bath or shower. Indulge yourself with softness and style. Enjoy the luxury! ,"Effect - Bath robe - White / Fits up to large, Cream / Fits up to large: Luxury and comfort combine in Effect bath robe made with plush 100% cotton terry towels. Wrap yourself in cozy warmth after a relaxing bath or shower. Indulge yourself with softness and style. Enjoy the luxury! "
Effect - Duvet set,"King / White, King / Silver",13995.0,effect-duvet-set,"46329345900835, 46339610738979",False,"672b959aa4c2e, 672b9599ded1c",https://hebalinens.com/products/effect-duvet-set,2026/02/01 03:58:51 PM,"Experience luxury and comfort in your sleep with the Effect Duvet set! Crafted with 100% fine Egyptian Giza cotton 600TC, this minimalistic set will provide a soothing night's rest. Lose yourself in softness and sophistication, and wake up feeling refreshed and relaxed. Set consists of: 1 embroidered duvet cover 2 embroidered pillow cases 2 plain pillow cases 1 flat sheet","Effect - Duvet set - King / White, King / Silver: Experience luxury and comfort in your sleep with the Effect Duvet set! Crafted with 100% fine Egyptian Giza cotton 600TC, this minimalistic set will provide a soothing night's rest. Lose yourself in softness and sophistication, and wake up feeling refreshed and relaxed. Set consists of: 1 embroidered duvet cover 2 embroidered pillow cases 2 plain pillow cases 1 flat sheet"
Effect - Guest Towel Set,"White, Silver",450.0,effect-guest-towel-set,"47067720089891, 47067720122659",True,"672b959b6665c, 672b959aa1102",https://hebalinens.com/products/effect-guest-towel-set,2026/02/01 03:58:59 PM,"This beautiful guest towel set is the perfect bath accessory to take your space to the next level. Crafted from 100% cotton, Effect provides a luxurious, contemporary feel to your space. Pamper your guests with the ultimate softness and sophistication. Make a statement with Effect today!  Guest Towels Set consists of: 3face towels","Effect - Guest Towel Set - White, Silver: This beautiful guest towel set is the perfect bath accessory to take your space to the next level. Crafted from 100% cotton, Effect provides a luxurious, contemporary feel to your space. Pamper your guests with the ultimate softness and sophistication. Make a statement with Effect today!  Guest Towels Set consists of: 3face towels"
Effect - Sheet set,"King / White, King / Silver",10995.0,effect-sheet-set,"46329358319907, 46339606446371",False,"672b959d292ea, 672b959c6d0fd",https://hebalinens.com/products/effect-sheet-set,2026/02/01 03:58:54 PM,"Experience unparalleled comfort with the Effect Sheet Set. Crafted with 100% fine Egyptian Giza cotton 600TC for an ultra-soft and luxurious feel, its minimalistic modern design adds a touch of refined elegance to your bedroom décor. Create the perfect sleeping space! Set consists of: 1 embroidered top sheet 2 embroidered pillow cases 2 plain pillow cases 1 flat sheet","Effect - Sheet set - King / White, King / Silver: Experience unparalleled comfort with the Effect Sheet Set. Crafted with 100% fine Egyptian Giza cotton 600TC for an ultra-soft and luxurious feel, its minimalistic modern design adds a touch of refined elegance to your bedroom décor. Create the perfect sleeping space! Set consists of: 1 embroidered top sheet 2 embroidered pillow cases 2 plain pillow cases 1 flat sheet"
Effect - Slipper,"White, Cream",395.0,effect-slippers,"46871250960675, 46871251026211",False,"672b959e6c198, 672b959da017d",https://hebalinens.com/products/effect-slippers,2026/02/01 03:58:50 PM,"Treat your feet to luxurious comfort with our Effect Slippers. Crafted in 100% cotton terry towel, these slippers are ultra-soft and perfect for after-bath relaxation. Experience the cozy feeling of relaxation every day!","Effect - Slipper - White, Cream: Treat your feet to luxurious comfort with our Effect Slippers. Crafted in 100% cotton terry towel, these slippers are ultra-soft and perfect for after-bath relaxation. Experience the cozy feeling of relaxation every day!"
Effect - Towel Set,"White, Silver",1995.0,effect-towel-set,"46336937394467, 46339606085923",True,"672b959fa9cfc, 672b959ef2973",https://hebalinens.com/products/effect-towel-set,2026/02/01 03:59:02 PM,"Experience the modern sophistication of Effect Towel Set. Our minimalistic design is crafted with 100% cotton, perfect for dry comfort and luxuriously soft touch. Refresh your bathroom with our towel set and feel the difference! Set consists of 1 Bath towel 2 Hand towels","Effect - Towel Set - White, Silver: Experience the modern sophistication of Effect Towel Set. Our minimalistic design is crafted with 100% cotton, perfect for dry comfort and luxuriously soft touch. Refresh your bathroom with our towel set and feel the difference! Set consists of 1 Bath towel 2 Hand towels"
Esprit - Bath Mat Set,White,2395.0,esprit-bathmat-set-2pcs,45685095366947,True,672b959f6f180,https://hebalinens.com/products/esprit-bathmat-set-2pcs,2026/02/01 03:59:00 PM,"Experience luxury and comfort with the Esprit bathmat set. Its unique design, with shades of green leaves, will bring a touch of greenery into your bathroom. Crafted from soft cotton towel and with padded backing, it ensures the highest level of comfort for your feet. Enjoy spa-like indulgence in the comfort of your own home! Set consists of: 2 rectangular bathmats ","Esprit - Bath Mat Set - White: Experience luxury and comfort with the Esprit bathmat set. Its unique design, with shades of green leaves, will bring a touch of greenery into your bathroom. Crafted from soft cotton towel and with padded backing, it ensures the highest level of comfort for your feet. Enjoy spa-like indulgence in the comfort of your own home! Set consists of: 2 rectangular bathmats "
Esprit - Duvet set,White / King,5695.0,esprit,45665169244451,True,672b959f836c5,https://hebalinens.com/products/esprit,2026/02/01 03:59:06 PM,"Wrapped in Esprit duvet set, you'll be enveloped in the beauty of nature. Its design features beautiful leaves in shades of green, providing a calming and relaxing atmosphere in your bedroom. Set consists of: 1 embroidered duvet cover 2 embroidered pillow cases 2 plain pillow cases 1 flat sheet","Esprit - Duvet set - White / King: Wrapped in Esprit duvet set, you'll be enveloped in the beauty of nature. Its design features beautiful leaves in shades of green, providing a calming and relaxing atmosphere in your bedroom. Set consists of: 1 embroidered duvet cover 2 embroidered pillow cases 2 plain pillow cases 1 flat sheet"
Esprit - Guest Towel Set,White,480.0,esprit-guest-towel-set,47052809601315,True,672b95a0e113a,https://hebalinens.com/products/esprit-guest-towel-set,2026/02/01 03:59:13 PM,"Experience luxury with Esprit's plush guest towel set. Made with 100% cotton terry, these soft and comfortable towels are perfect for everyday use. Pamper your guests while adding an elegant touch to any bathroom decor.  Guest Towel Set consists of: 3face towels","Esprit - Guest Towel Set - White: Experience luxury with Esprit's plush guest towel set. Made with 100% cotton terry, these soft and comfortable towels are perfect for everyday use. Pamper your guests while adding an elegant touch to any bathroom decor.  Guest Towel Set consists of: 3face towels"
Esprit - Sheet set,White / King,4495.0,esprit-sheet-set-6pcs,45666312814883,True,672b95a00dcda,https://hebalinens.com/products/esprit-sheet-set-6pcs,2026/02/01 03:59:08 PM,"Fall into sweet dreams surrounded by the Esprit Sheet Set. Crafted with a design inspired by nature, the Esprit features lush leaves in shades of green that will bring a tranquil springtime feel into your bedroom. Enjoy a serene and peaceful sleep each night! Set consists of: 1 embroidered top sheet 2 embroidered pillow cases 2 plain pillow cases 1 flat sheet","Esprit - Sheet set - White / King: Fall into sweet dreams surrounded by the Esprit Sheet Set. Crafted with a design inspired by nature, the Esprit features lush leaves in shades of green that will bring a tranquil springtime feel into your bedroom. Enjoy a serene and peaceful sleep each night! Set consists of: 1 embroidered top sheet 2 embroidered pillow cases 2 plain pillow cases 1 flat sheet"
Esprit - Towel Set,White,1795.0,esprit-towels-set-3pcs,45685065548067,True,672b95a27e13f,https://hebalinens.com/products/esprit-towels-set-3pcs,2026/02/01 03:58:09 PM,Make a statement with the Esprit towels set! This beautifully designed set is adorned with green leaves and crafted with premium 100% cotton for a soft feel against your skin. Get the perfect combination of style and comfort. Set consists of 1 Bath towel 2 Hand towels,Esprit - Towel Set - White: Make a statement with the Esprit towels set! This beautifully designed set is adorned with green leaves and crafted with premium 100% cotton for a soft feel against your skin. Get the perfect combination of style and comfort. Set consists of 1 Bath towel 2 Hand towels
