Product,Description,Price,Variant,SKU,Inventory Management,Handle,Product URL,Scraped at,Hollistic Description,SKUs
Baby Bodysuit Pack Of 3,High Premium Organic Egyptian Cotton Printed Short Sleeve Bodysuit Pack Of 3 5213-48 100 % Cotton,325.0,"White  *  Blue  *  Printed / 24 - 36 Months, White  *  Blue  *  Printed / 18 - 24 Months, White  *  Blue  *  Printed / 12 - 18 Months, White  *  Blue  *  Printed / 9 - 12 Months, White  *  Blue  *  Printed / 6 - 9 Months, White  *  Blue  *  Printed / 3 - 6 Months, White  *  Blue  *  Printed / 0 - 3 Months",1148521336,shopify,5213-48,https://junior-tex.com//products/5213-48,2026/02/22 02:41:33 PM,"Baby Bodysuit Pack Of 3 - White  *  Blue  *  Printed / 24 - 36 Months, White  *  Blue  *  Printed / 18 - 24 Months, White  *  Blue  *  Printed / 12 - 18 Months, White  *  Blue  *  Printed / 9 - 12 Months, White  *  Blue  *  Printed / 6 - 9 Months, White  *  Blue  *  Printed / 3 - 6 Months, White  *  Blue  *  Printed / 0 - 3 Months: High Premium Organic Egyptian Cotton Printed Short Sleeve Bodysuit Pack Of 3 5213-48 100 % Cotton",1148521336 1148521324 1148521318 1148521312 1148521309 1148521306 1148521303
Baby Bodysuit Pack Of 3,High Premium Organic Egyptian Cotton Sleeveless Bodysuit Pack Of 3 100 % Cotton 7213-18,300.0,"White * Strip * Blue / 24 - 36 Months, White * Strip * Blue / 18 - 24 Months, White * Strip * Blue / 12 - 18 Months, White * Strip * Blue / 9 - 12 Months, White * Strip * Blue / 6 - 9 Months, White * Strip * Blue / 3 - 6 Months, White * Strip * Blue / 0 - 3 Months",1118721336,shopify,7213-18,https://junior-tex.com//products/7213-18,2026/02/22 02:41:16 PM,"Baby Bodysuit Pack Of 3 - White * Strip * Blue / 24 - 36 Months, White * Strip * Blue / 18 - 24 Months, White * Strip * Blue / 12 - 18 Months, White * Strip * Blue / 9 - 12 Months, White * Strip * Blue / 6 - 9 Months, White * Strip * Blue / 3 - 6 Months, White * Strip * Blue / 0 - 3 Months: High Premium Organic Egyptian Cotton Sleeveless Bodysuit Pack Of 3 100 % Cotton 7213-18",1118721336 1118721324 1118721318 1118721312 1118721309 1118721306 1118721303
Baby Bodysuit Pack Of 3 5213-15,High Premium Organic Egyptian Cotton Short Sleeve Bodysuit Pack Of 35213-15 100 % Cotton,325.0,"Fushia  *  White  *  Rose / 24 - 36 Months, Fushia  *  White  *  Rose / 18 - 24 Months, Fushia  *  White  *  Rose / 12 - 18 Months, Fushia  *  White  *  Rose / 9 - 12 Months, Fushia  *  White  *  Rose / 6 - 9 Months, Fushia  *  White  *  Rose / 3 - 6 Months, Fushia  *  White  *  Rose / 0 - 3 Months",1115521336,shopify,5213-15,https://junior-tex.com//products/5213-15,2026/02/22 02:41:13 PM,"Baby Bodysuit Pack Of 3 5213-15 - Fushia  *  White  *  Rose / 24 - 36 Months, Fushia  *  White  *  Rose / 18 - 24 Months, Fushia  *  White  *  Rose / 12 - 18 Months, Fushia  *  White  *  Rose / 9 - 12 Months, Fushia  *  White  *  Rose / 6 - 9 Months, Fushia  *  White  *  Rose / 3 - 6 Months, Fushia  *  White  *  Rose / 0 - 3 Months: High Premium Organic Egyptian Cotton Short Sleeve Bodysuit Pack Of 35213-15 100 % Cotton",1115521336 1115521324 1115521318 1115521312 1115521309 1115521306 1115521303
Baby Bodysuit Pack Of 3 5213-23,High Premium Organic Egyptian Cotton Printed Short Sleeve Bodysuit Pack Of 35213-23100 % Cotton,325.0,"Rose * Printed * Blue / 24 - 36 Months, Rose * Printed * Blue / 18 - 24 Months, Rose * Printed * Blue / 12 - 18 Months, Rose * Printed * Blue / 9 - 12 Months, Rose * Printed * Blue / 6 - 9 Months, Rose * Printed * Blue / 3 - 6 Months, Rose * Printed * Blue / 0 - 3 Months",1123521336,shopify,5213-23,https://junior-tex.com//products/5213-23,2026/02/22 02:41:23 PM,"Baby Bodysuit Pack Of 3 5213-23 - Rose * Printed * Blue / 24 - 36 Months, Rose * Printed * Blue / 18 - 24 Months, Rose * Printed * Blue / 12 - 18 Months, Rose * Printed * Blue / 9 - 12 Months, Rose * Printed * Blue / 6 - 9 Months, Rose * Printed * Blue / 3 - 6 Months, Rose * Printed * Blue / 0 - 3 Months: High Premium Organic Egyptian Cotton Printed Short Sleeve Bodysuit Pack Of 35213-23100 % Cotton",1123521336 1123521324 1123521318 1123521312 1123521309 1123521306 1123521303
Baby Bodysuit Pack Of 3 5213-29,High Premium Organic Egyptian Cotton Printed Short Sleeve Bodysuit Pack Of 3 5213-29 100 % Cotton,325.0,"Printed White  *  Yellow  *  Grey / 24 - 36 Months, Printed White  *  Yellow  *  Grey / 18 - 24 Months, Printed White  *  Yellow  *  Grey / 12 - 18 Months, Printed White  *  Yellow  *  Grey / 9 - 12 Months, Printed White  *  Yellow  *  Grey / 6 - 9 Months, Printed White  *  Yellow  *  Grey / 3 - 6 Months, Printed White  *  Yellow  *  Grey / 0 - 3 Months",1129521336,shopify,5213-29,https://junior-tex.com//products/5213-29,2026/02/22 02:41:21 PM,"Baby Bodysuit Pack Of 3 5213-29 - Printed White  *  Yellow  *  Grey / 24 - 36 Months, Printed White  *  Yellow  *  Grey / 18 - 24 Months, Printed White  *  Yellow  *  Grey / 12 - 18 Months, Printed White  *  Yellow  *  Grey / 9 - 12 Months, Printed White  *  Yellow  *  Grey / 6 - 9 Months, Printed White  *  Yellow  *  Grey / 3 - 6 Months, Printed White  *  Yellow  *  Grey / 0 - 3 Months: High Premium Organic Egyptian Cotton Printed Short Sleeve Bodysuit Pack Of 3 5213-29 100 % Cotton",1129521336 1129521324 1129521318 1129521312 1129521309 1129521306 1129521303
Baby Bodysuit Pack Of 3 5213-33,High Premium Organic Egyptian Cotton Printed Short Sleeve Bodysuit Pack Of 3 5213-33 100 % Cotton,325.0,"Simon  *  Grey  *  Strip / 24 - 36 Months, Simon  *  Grey  *  Strip / 18 - 24 Months, Simon  *  Grey  *  Strip / 12 - 18 Months, Simon  *  Grey  *  Strip / 9 - 12 Months, Simon  *  Grey  *  Strip / 6 - 9 Months, Simon  *  Grey  *  Strip / 3 - 6 Months, Simon  *  Grey  *  Strip / 0 - 3 Months",1133521336,shopify,5213-33,https://junior-tex.com//products/5213-33,2026/02/22 02:41:17 PM,"Baby Bodysuit Pack Of 3 5213-33 - Simon  *  Grey  *  Strip / 24 - 36 Months, Simon  *  Grey  *  Strip / 18 - 24 Months, Simon  *  Grey  *  Strip / 12 - 18 Months, Simon  *  Grey  *  Strip / 9 - 12 Months, Simon  *  Grey  *  Strip / 6 - 9 Months, Simon  *  Grey  *  Strip / 3 - 6 Months, Simon  *  Grey  *  Strip / 0 - 3 Months: High Premium Organic Egyptian Cotton Printed Short Sleeve Bodysuit Pack Of 3 5213-33 100 % Cotton",1133521336 1133521324 1133521318 1133521312 1133521309 1133521306 1133521303
Baby Bodysuit Pack Of 3 5213-35,High Premium Organic Egyptian Cotton Printed Short Sleeve Bodysuit Pack Of 3 5213-35 100 % Cotton,325.0,"Pistage  *  Ecru  *  Printed / 24 - 36 Months, Pistage  *  Ecru  *  Printed / 18 - 24 Months, Pistage  *  Ecru  *  Printed / 12 - 18 Months, Pistage  *  Ecru  *  Printed / 9 - 12 Months, Pistage  *  Ecru  *  Printed / 6 - 9 Months, Pistage  *  Ecru  *  Printed / 3 - 6 Months, Pistage  *  Ecru  *  Printed / 0 - 3 Months",1135521336,shopify,5213-35,https://junior-tex.com//products/5213-35,2026/02/22 02:41:04 PM,"Baby Bodysuit Pack Of 3 5213-35 - Pistage  *  Ecru  *  Printed / 24 - 36 Months, Pistage  *  Ecru  *  Printed / 18 - 24 Months, Pistage  *  Ecru  *  Printed / 12 - 18 Months, Pistage  *  Ecru  *  Printed / 9 - 12 Months, Pistage  *  Ecru  *  Printed / 6 - 9 Months, Pistage  *  Ecru  *  Printed / 3 - 6 Months, Pistage  *  Ecru  *  Printed / 0 - 3 Months: High Premium Organic Egyptian Cotton Printed Short Sleeve Bodysuit Pack Of 3 5213-35 100 % Cotton",1135521336 1135521324 1135521318 1135521312 1135521309 1135521306 1135521303
Baby Bodysuit Pack Of 3 5213-47,High Premium Organic Egyptian Cotton Printed Short Sleeve Bodysuit Pack Of 3 5213-47 100 % Cotton,325.0,"White  *  Rose  *  Printed / 24 - 36 Months, White  *  Rose  *  Printed / 18 - 24 Months, White  *  Rose  *  Printed / 12 - 18 Months, White  *  Rose  *  Printed / 9 - 12 Months, White  *  Rose  *  Printed / 6 - 9 Months, White  *  Rose  *  Printed / 3 - 6 Months, White  *  Rose  *  Printed / 0 - 3 Months",1147521336,shopify,5213-47,https://junior-tex.com//products/5213-47,2026/02/22 02:41:18 PM,"Baby Bodysuit Pack Of 3 5213-47 - White  *  Rose  *  Printed / 24 - 36 Months, White  *  Rose  *  Printed / 18 - 24 Months, White  *  Rose  *  Printed / 12 - 18 Months, White  *  Rose  *  Printed / 9 - 12 Months, White  *  Rose  *  Printed / 6 - 9 Months, White  *  Rose  *  Printed / 3 - 6 Months, White  *  Rose  *  Printed / 0 - 3 Months: High Premium Organic Egyptian Cotton Printed Short Sleeve Bodysuit Pack Of 3 5213-47 100 % Cotton",1147521336 1147521324 1147521318 1147521312 1147521309 1147521306 1147521303
Baby Bodysuit Pack Of 3 5213-49,High Premium Organic Egyptian Cotton Printed Short Sleeve Bodysuit Pack Of 3 5213-49 100 % Cotton,325.0,"Greuy  *  Blue   *  Printed / 24 - 36 Months, Greuy  *  Blue   *  Printed / 18 - 24 Months, Greuy  *  Blue   *  Printed / 12 - 18 Months, Greuy  *  Blue   *  Printed / 9 - 12 Months, Greuy  *  Blue   *  Printed / 6 - 9 Months, Greuy  *  Blue   *  Printed / 3 - 6 Months, Greuy  *  Blue   *  Printed / 0 - 3 Months",1149521336,shopify,5213-49,https://junior-tex.com//products/5213-49,2026/02/22 02:41:05 PM,"Baby Bodysuit Pack Of 3 5213-49 - Greuy  *  Blue   *  Printed / 24 - 36 Months, Greuy  *  Blue   *  Printed / 18 - 24 Months, Greuy  *  Blue   *  Printed / 12 - 18 Months, Greuy  *  Blue   *  Printed / 9 - 12 Months, Greuy  *  Blue   *  Printed / 6 - 9 Months, Greuy  *  Blue   *  Printed / 3 - 6 Months, Greuy  *  Blue   *  Printed / 0 - 3 Months: High Premium Organic Egyptian Cotton Printed Short Sleeve Bodysuit Pack Of 3 5213-49 100 % Cotton",1149521336 1149521324 1149521318 1149521312 1149521309 1149521306 1149521303
Baby Bodysuit Pack Of 3 5213-53,High Premium Organic Egyptian Cotton Printed Short Sleeve Bodysuit Pack Of 3 5213-53 100 % Cotton,325.0,"Printed  *  Simon  *  Rose / 18 - 24 Months, Printed  *  Simon  *  Rose / 12 - 18 Months, Printed  *  Simon  *  Rose / 9 - 12 Months, Printed  *  Simon  *  Rose / 6 - 9 Months, Printed  *  Simon  *  Rose / 3 - 6 Months, Printed  *  Simon  *  Rose / 0 - 3 Months",1153521324,shopify,5213-53,https://junior-tex.com//products/5213-53,2026/02/22 02:41:10 PM,"Baby Bodysuit Pack Of 3 5213-53 - Printed  *  Simon  *  Rose / 18 - 24 Months, Printed  *  Simon  *  Rose / 12 - 18 Months, Printed  *  Simon  *  Rose / 9 - 12 Months, Printed  *  Simon  *  Rose / 6 - 9 Months, Printed  *  Simon  *  Rose / 3 - 6 Months, Printed  *  Simon  *  Rose / 0 - 3 Months: High Premium Organic Egyptian Cotton Printed Short Sleeve Bodysuit Pack Of 3 5213-53 100 % Cotton",1153521324 1153521318 1153521312 1153521309 1153521306 1153521303
Baby Bodysuit Pack Of 3 5213-59,High Premium Organic Egyptian Cotton Printed Short Sleeve Bodysuit Pack Of 35213-59 100 % Cotton,325.0,"Printed  *  Mustard  *  White / 18 - 24 Months, Printed  *  Mustard  *  White / 12 - 18 Months, Printed  *  Mustard  *  White / 9 - 12 Months, Printed  *  Mustard  *  White / 6 - 9 Months, Printed  *  Mustard  *  White / 3 - 6 Months, Printed  *  Mustard  *  White / 0 - 3 Months",1159521324,shopify,5213-59,https://junior-tex.com//products/5213-59,2026/02/22 02:41:25 PM,"Baby Bodysuit Pack Of 3 5213-59 - Printed  *  Mustard  *  White / 18 - 24 Months, Printed  *  Mustard  *  White / 12 - 18 Months, Printed  *  Mustard  *  White / 9 - 12 Months, Printed  *  Mustard  *  White / 6 - 9 Months, Printed  *  Mustard  *  White / 3 - 6 Months, Printed  *  Mustard  *  White / 0 - 3 Months: High Premium Organic Egyptian Cotton Printed Short Sleeve Bodysuit Pack Of 35213-59 100 % Cotton",1159521324 1159521318 1159521312 1159521309 1159521306 1159521303
Baby Bodysuit Pack Of 3 5213-69,High Premium Organic Egyptian CottonPrintedShort Sleeve Bodysuit Pack Of 3 Summer nightsCode :5213-69Fabric : InterlockComposition :100 % Cotton,325.0,"Mustard * Rose * Printed / 0 - 3 Months, Mustard * Rose * Printed / 3 - 6 Months, Mustard * Rose * Printed / 6 - 9 Months, Mustard * Rose * Printed / 9 - 12 Months, Mustard * Rose * Printed / 12 - 18 Months, Mustard * Rose * Printed / 18 - 24 Months, Mustard * Rose * Printed / 24 - 36 Months",1169521303,shopify,5213-69,https://junior-tex.com//products/5213-69,2026/02/22 02:41:14 PM,"Baby Bodysuit Pack Of 3 5213-69 - Mustard * Rose * Printed / 0 - 3 Months, Mustard * Rose * Printed / 3 - 6 Months, Mustard * Rose * Printed / 6 - 9 Months, Mustard * Rose * Printed / 9 - 12 Months, Mustard * Rose * Printed / 12 - 18 Months, Mustard * Rose * Printed / 18 - 24 Months, Mustard * Rose * Printed / 24 - 36 Months: High Premium Organic Egyptian CottonPrintedShort Sleeve Bodysuit Pack Of 3 Summer nightsCode :5213-69Fabric : InterlockComposition :100 % Cotton",1169521303 1169521306 1169521309 1169521312 1169521318 1169521324 1169521336
Baby Bodysuit Pack Of 3 5213-70,High Premium Organic Egyptian CottonPrintedShort Sleeve Bodysuit Pack Of 3 Hello birdieCode :5213-70Fabric :InterlockComposition :100 %Cotton,325.0,"Simon * Printed White * Blue / 0 - 3 Months, Simon * Printed White * Blue / 3 - 6 Months, Simon * Printed White * Blue / 6 - 9 Months, Simon * Printed White * Blue / 9 - 12 Months, Simon * Printed White * Blue / 12 - 18 Months, Simon * Printed White * Blue / 18 - 24 Months, Simon * Printed White * Blue / 24 - 36 Months",1170521303,shopify,5213-70,https://junior-tex.com//products/5213-70,2026/02/22 02:41:12 PM,"Baby Bodysuit Pack Of 3 5213-70 - Simon * Printed White * Blue / 0 - 3 Months, Simon * Printed White * Blue / 3 - 6 Months, Simon * Printed White * Blue / 6 - 9 Months, Simon * Printed White * Blue / 9 - 12 Months, Simon * Printed White * Blue / 12 - 18 Months, Simon * Printed White * Blue / 18 - 24 Months, Simon * Printed White * Blue / 24 - 36 Months: High Premium Organic Egyptian CottonPrintedShort Sleeve Bodysuit Pack Of 3 Hello birdieCode :5213-70Fabric :InterlockComposition :100 %Cotton",1170521303 1170521306 1170521309 1170521312 1170521318 1170521324 1170521336
Baby Bodysuit Pack Of 3 5213-71,High Premium Organic Egyptian CottonPrintedShort Sleeve Bodysuit Pack Of 3 starsCode :5213-71Fabric :InterlockComposition :100 %Cotton,325.0,"Rose * Printed White * Purple / 0 - 3 Months, Rose * Printed White * Purple / 3 - 6 Months, Rose * Printed White * Purple / 6 - 9 Months, Rose * Printed White * Purple / 9 - 12 Months, Rose * Printed White * Purple / 12 - 18 Months, Rose * Printed White * Purple / 18 - 24 Months, Rose * Printed White * Purple / 24 - 36 Months",1171521303,shopify,5213-71,https://junior-tex.com//products/5213-71,2026/02/22 02:41:34 PM,"Baby Bodysuit Pack Of 3 5213-71 - Rose * Printed White * Purple / 0 - 3 Months, Rose * Printed White * Purple / 3 - 6 Months, Rose * Printed White * Purple / 6 - 9 Months, Rose * Printed White * Purple / 9 - 12 Months, Rose * Printed White * Purple / 12 - 18 Months, Rose * Printed White * Purple / 18 - 24 Months, Rose * Printed White * Purple / 24 - 36 Months: High Premium Organic Egyptian CottonPrintedShort Sleeve Bodysuit Pack Of 3 starsCode :5213-71Fabric :InterlockComposition :100 %Cotton",1171521303 1171521306 1171521309 1171521312 1171521318 1171521324 1171521336
