Product,Variant,Price,Handle,Inventory Management,Variant ID,Availability,SKU,Product URL,Scraped at,Description,Hollistic Description
Beige Girls Shorts,"18-24 Months / Shorts Only, 2-3 Years / Shorts Only, 3-4 Years / Shorts Only, 4-5 Years / Shorts Only, 5-6 Years / Shorts Only, 6-7 Years / Shorts Only, 8-9 Years / Shorts Only, 10-11 Years / Shorts Only, 12-13 Years / Shorts Only",399.0,beige-girls-shorts,shopify,"43774953914617, 43732656128249, 43732656161017, 43732656193785, 43732656226553, 43732656259321, 43732656292089, 43732656324857, 43732656357625",True,nan,https://applemintandcocoa.com//products/beige-girls-shorts,2026/02/22 12:53:29 PM,Size & Fit:Regular fit. Runs true to size.Do not size up or down if your child is of average size. Fabric:96% French Terry Cotton & 4% lycra Key Features:Drawstring for a more secure fit. 2 Front Pockets,"Beige Girls Shorts - 18-24 Months / Shorts Only, 2-3 Years / Shorts Only, 3-4 Years / Shorts Only, 4-5 Years / Shorts Only, 5-6 Years / Shorts Only, 6-7 Years / Shorts Only, 8-9 Years / Shorts Only, 10-11 Years / Shorts Only, 12-13 Years / Shorts Only: Size & Fit:Regular fit. Runs true to size.Do not size up or down if your child is of average size. Fabric:96% French Terry Cotton & 4% lycra Key Features:Drawstring for a more secure fit. 2 Front Pockets"
Beige Women Shorts,"Small / Shorts Only, Medium / Shorts Only, Large / Shorts Only, X-Large / Shorts Only, XX-Large / Shorts Only",150.0,beige-women-shorts,shopify,"43732591902969, 43732591935737, 43732591968505, 43732592001273, 43732592034041",True,nan,https://applemintandcocoa.com//products/beige-women-shorts,2026/02/22 12:53:33 PM,Key Features:100% CottonElasticized waist bandDrawstring to adjust fitSide pockets in shorts,"Beige Women Shorts - Small / Shorts Only, Medium / Shorts Only, Large / Shorts Only, X-Large / Shorts Only, XX-Large / Shorts Only: Key Features:100% CottonElasticized waist bandDrawstring to adjust fitSide pockets in shorts"
Bike Hike Boys Tee,"2-3, 4-5, 6-7, 8-9, 10-11, 12-13",299.0,bike-hike-boys-tee,shopify,"39500832178225, 39500832210993, 39500832243761, 39500832276529, 39500832309297, 39500832342065",False,nan,https://applemintandcocoa.com//products/bike-hike-boys-tee,2026/02/22 12:53:39 PM,Crafted in our soft cotton jersey. Perfect for those breezy fall mornings.Key Features: 100% cotton lightweight jersey.All over print.Loose fit.,"Bike Hike Boys Tee - 2-3, 4-5, 6-7, 8-9, 10-11, 12-13: Crafted in our soft cotton jersey. Perfect for those breezy fall mornings.Key Features: 100% cotton lightweight jersey.All over print.Loose fit."
Black Cargo Girls Shorts,"18-24 Months / Shorts Only, 2-3 Years / Shorts Only, 3-4 Years / Shorts Only, 4-5 Years / Shorts Only, 5-6 Years / Shorts Only, 6-7 Years / Shorts Only, 8-9 Years / Shorts Only, 10-11 Years / Shorts Only, 12-13 Years / Shorts Only, 14-15 Years / Shorts Only",399.0,black-girls-shorts,shopify,"45496025907449, 43732630798585, 43732630831353, 43732630864121, 43732630896889, 43732630929657, 43732630962425, 43732630995193, 43732631027961, 44547003875577",False,nan,https://applemintandcocoa.com//products/black-girls-shorts,2026/02/22 12:53:41 PM,Size & Fit:Regular fit. Runs true to size.Do not size up or down if your child is of average size. Fabric:96% French Terry Cotton & 4% lycra Key Features:Drawstring for a more secure fit. 2 Front Pockets,"Black Cargo Girls Shorts - 18-24 Months / Shorts Only, 2-3 Years / Shorts Only, 3-4 Years / Shorts Only, 4-5 Years / Shorts Only, 5-6 Years / Shorts Only, 6-7 Years / Shorts Only, 8-9 Years / Shorts Only, 10-11 Years / Shorts Only, 12-13 Years / Shorts Only, 14-15 Years / Shorts Only: Size & Fit:Regular fit. Runs true to size.Do not size up or down if your child is of average size. Fabric:96% French Terry Cotton & 4% lycra Key Features:Drawstring for a more secure fit. 2 Front Pockets"
Black Cargo Kids’ Shorts,"2-3 Years / Shorts Only, 3-4 Years / Shorts Only, 4-5 Years / Shorts Only, 5-6 Years / Shorts Only, 6-7 Years / Shorts Only, 8-9 Years / Shorts Only, 10-11 Years / Shorts Only, 12-13 Years / Shorts Only, 14-15 Years / Shorts Only",540.0,black-cargo-kids-shorts,shopify,"43732560838905, 43732560871673, 43732560904441, 43732560937209, 43732560969977, 43732561002745, 43732561035513, 43732561068281, 44546408612089",True,nan,https://applemintandcocoa.com//products/black-cargo-kids-shorts,2026/02/22 12:53:30 PM,Size & Fit:Regular fit. Runs true to size.Do not size up or down if your child is of average size. Fabric:Single Jersey / Lycra Cotton Key Features: Elasticized waist band.Drawstring to secure fit.Two front pockets.Cargo Shorts.,"Black Cargo Kids’ Shorts - 2-3 Years / Shorts Only, 3-4 Years / Shorts Only, 4-5 Years / Shorts Only, 5-6 Years / Shorts Only, 6-7 Years / Shorts Only, 8-9 Years / Shorts Only, 10-11 Years / Shorts Only, 12-13 Years / Shorts Only, 14-15 Years / Shorts Only: Size & Fit:Regular fit. Runs true to size.Do not size up or down if your child is of average size. Fabric:Single Jersey / Lycra Cotton Key Features: Elasticized waist band.Drawstring to secure fit.Two front pockets.Cargo Shorts."
Black Cargo Men Shorts,"Medium / Shorts Only, Large / Shorts Only, X-Large / Shorts Only, XX-Large / Shorts Only",650.0,black-cargo-men-shorts,shopify,"43732568965369, 43732568998137, 43732569030905, 43732569063673",True,nan,https://applemintandcocoa.com//products/black-cargo-men-shorts,2026/02/22 12:53:46 PM,Key Features:100% CottonElasticized waist bandDrawstring to adjust fitSide pockets in shortsCargo shorts,"Black Cargo Men Shorts - Medium / Shorts Only, Large / Shorts Only, X-Large / Shorts Only, XX-Large / Shorts Only: Key Features:100% CottonElasticized waist bandDrawstring to adjust fitSide pockets in shortsCargo shorts"
Black Cargo Women Pants ONLY,"Small / Pants Only, Medium / Pants Only, Large / Pants Only, X-Large / Pants Only, XX-Large / Pants Only",399.0,black-cargo-women-pants,shopify,"43732586922233, 43732586987769, 43732587053305, 43732587118841, 43732587184377",True,nan,https://applemintandcocoa.com//products/black-cargo-women-pants,2026/02/22 12:53:55 PM,Size & Fit:Regular fit. Runs true to size. Fabric:96% French Terry Cotton & 4% lycra Key Features: Cargo Pocket + 2 Front Pockets,"Black Cargo Women Pants ONLY - Small / Pants Only, Medium / Pants Only, Large / Pants Only, X-Large / Pants Only, XX-Large / Pants Only: Size & Fit:Regular fit. Runs true to size. Fabric:96% French Terry Cotton & 4% lycra Key Features: Cargo Pocket + 2 Front Pockets"
Black Sports Leggings with Double Layer Mesh Panel,"4-5, 6-7, 8-9, 10-11, 12-13, 14-15",399.0,mesh-panel-black-leggings,shopify,"45170392826105, 45170392858873, 45170392891641, 45170392924409, 45170392957177, 45170392989945",False,nan,https://applemintandcocoa.com//products/mesh-panel-black-leggings,2026/02/22 12:53:43 PM,"Introducing -PULSE- Comfortable, breathable sportswear with an edge. Key features: 100% PolyesterDry fitMoisture wickingBreathable and light","Black Sports Leggings with Double Layer Mesh Panel - 4-5, 6-7, 8-9, 10-11, 12-13, 14-15: Introducing -PULSE- Comfortable, breathable sportswear with an edge. Key features: 100% PolyesterDry fitMoisture wickingBreathable and light"
Blue Cargo Kids’ Shorts,"2-3 Years / Shorts Only, 3-4 Years / Shorts Only, 4-5 Years / Shorts Only, 5-6 Years / Shorts Only, 6-7 Years / Shorts Only, 8-9 Years / Shorts Only, 10-11 Years / Shorts Only, 12-13 Years / Shorts Only, 14-15 Years / Shorts Only",475.0,blue-cargo-kids-shorts,shopify,"46348616401145, 46348616433913, 46348616466681, 46348616499449, 46348616532217, 46348616564985, 46348616597753, 46348616630521, 46348616663289",True,nan,https://applemintandcocoa.com//products/blue-cargo-kids-shorts,2026/02/22 12:53:56 PM,Size & Fit:Regular fit. Runs true to size.Do not size up or down if your child is of average size. Fabric:Single Jersey / Lycra Cotton Key Features: Elasticized waist band.Drawstring to secure fit.Two front pockets.Cargo Shorts.,"Blue Cargo Kids’ Shorts - 2-3 Years / Shorts Only, 3-4 Years / Shorts Only, 4-5 Years / Shorts Only, 5-6 Years / Shorts Only, 6-7 Years / Shorts Only, 8-9 Years / Shorts Only, 10-11 Years / Shorts Only, 12-13 Years / Shorts Only, 14-15 Years / Shorts Only: Size & Fit:Regular fit. Runs true to size.Do not size up or down if your child is of average size. Fabric:Single Jersey / Lycra Cotton Key Features: Elasticized waist band.Drawstring to secure fit.Two front pockets.Cargo Shorts."
Butterflies Panties (Pack of 3),"2-3, 3-4, 4-5, 6-7, 8-9, 10-11, 12-13",160.0,butterflies-panties-pack-of-3,shopify,"43766874669305, 43766874702073, 43766874734841, 43766874767609, 43766874800377, 43766874833145, 43766874865913",False,nan,https://applemintandcocoa.com//products/butterflies-panties-pack-of-3,2026/02/22 12:53:48 PM,Key Features: 100% Cotton Fun designs Elastic Waist Pack of Three Sizing: Size up as sizes are small. Non refundablenorexchangeable (because ew),"Butterflies Panties (Pack of 3) - 2-3, 3-4, 4-5, 6-7, 8-9, 10-11, 12-13: Key Features: 100% Cotton Fun designs Elastic Waist Pack of Three Sizing: Size up as sizes are small. Non refundablenorexchangeable (because ew)"
CB in Gray Sports Shorts,"6-7, 8-9, 10-11, 12-13, 14-15",370.0,cb-in-gray-sports-shorts,shopify,"46461420732665, 46461420765433, 46461420798201, 46461420830969, 46461420863737",True,nan,https://applemintandcocoa.com//products/cb-in-gray-sports-shorts,2026/02/22 12:53:49 PM,"Introducing -PULSE- Comfortable, breathable sportswear with an edge. Key features: 100% PolyesterDry fitMoisture wickingBreathable and light","CB in Gray Sports Shorts - 6-7, 8-9, 10-11, 12-13, 14-15: Introducing -PULSE- Comfortable, breathable sportswear with an edge. Key features: 100% PolyesterDry fitMoisture wickingBreathable and light"
Camo Lego in Light Pink Sports Leggings,"6-7, 8-9, 10-11, 12-13, 14-15",489.0,camo-lego-in-light-pink-sports-leggings,shopify,"46461440819449, 46461440852217, 46461440884985, 46461440917753, 46461440950521",True,nan,https://applemintandcocoa.com//products/camo-lego-in-light-pink-sports-leggings,2026/02/22 12:53:53 PM,"Introducing -PULSE- Comfortable, breathable sportswear with an edge. Key features: 100% PolyesterDry fitMoisture wickingBreathable and light","Camo Lego in Light Pink Sports Leggings - 6-7, 8-9, 10-11, 12-13, 14-15: Introducing -PULSE- Comfortable, breathable sportswear with an edge. Key features: 100% PolyesterDry fitMoisture wickingBreathable and light"
Camper Washed Tee For Adults,"Medium / T-shirt Only, Large / T-shirt Only, X-Large / T-shirt Only, XX-Large / T-shirt Only",519.0,camper-washed-tee-for-adults,shopify,"46473464414457, 46473464447225, 46473464479993, 46626408497401",True,nan,https://applemintandcocoa.com//products/camper-washed-tee-for-adults,2026/02/22 12:53:54 PM,"Size & Fit:Oversized FitFabric:100% Cotton Disclaimer: The product is intentionally ripped as shown in the photos, they are not faulty, they are designed this way. Washing instructions: please note that acid washed dyes can bleed color if washed in hot water (hand or machine washed) or with light colored garments.- Machine wash in cold water - Wash separately or with dark colored items - Lay flat to dry - Iron away from print","Camper Washed Tee For Adults - Medium / T-shirt Only, Large / T-shirt Only, X-Large / T-shirt Only, XX-Large / T-shirt Only: Size & Fit:Oversized FitFabric:100% Cotton Disclaimer: The product is intentionally ripped as shown in the photos, they are not faulty, they are designed this way. Washing instructions: please note that acid washed dyes can bleed color if washed in hot water (hand or machine washed) or with light colored garments.- Machine wash in cold water - Wash separately or with dark colored items - Lay flat to dry - Iron away from print"
Camper Washed Tee For Kids,"2-3 Years / T-shirt Only, 3-4 Years / T-shirt Only, 4-5 Years / T-shirt Only, 5-6 Years / T-shirt Only, 6-7 Years / T-shirt Only, 8-9 Years / T-shirt Only, 10-11 Years / T-shirt Only, 12-13 Years / T-shirt Only, 14-15 Years / T-shirt Only",369.0,camper-washed-tee-for-kids,shopify,"46473465987321, 46473466020089, 46473466052857, 46473466085625, 46473466118393, 46473466151161, 46473466183929, 46473466216697, 46473466249465",False,nan,https://applemintandcocoa.com//products/camper-washed-tee-for-kids,2026/02/22 12:53:57 PM,"Size & Fit: Oversized Fit Fabric: 100% Cotton Disclaimer: The product is intentionally ripped as shown in the photos, they are not faulty,they are designedthis way. Washing instructions: please note that acid washed dyes can bleed color if washed in hot water (hand or machine washed) or with light colored garments.- Machine wash in cold water - Wash separately or with dark colored items - Lay flat to dry - Iron away from print","Camper Washed Tee For Kids - 2-3 Years / T-shirt Only, 3-4 Years / T-shirt Only, 4-5 Years / T-shirt Only, 5-6 Years / T-shirt Only, 6-7 Years / T-shirt Only, 8-9 Years / T-shirt Only, 10-11 Years / T-shirt Only, 12-13 Years / T-shirt Only, 14-15 Years / T-shirt Only: Size & Fit: Oversized Fit Fabric: 100% Cotton Disclaimer: The product is intentionally ripped as shown in the photos, they are not faulty,they are designedthis way. Washing instructions: please note that acid washed dyes can bleed color if washed in hot water (hand or machine washed) or with light colored garments.- Machine wash in cold water - Wash separately or with dark colored items - Lay flat to dry - Iron away from print"
Cashmere Cargo Girls Shorts,"2-3 Years / Shorts Only, 3-4 Years / Shorts Only, 4-5 Years / Shorts Only, 5-6 Years / Shorts Only, 6-7 Years / Shorts Only, 8-9 Years / Shorts Only, 10-11 Years / Shorts Only, 12-13 Years / Shorts Only",399.0,cashmere-girls-shorts,shopify,"43732616020217, 43732616085753, 43732616151289, 43732616216825, 43732616282361, 43732616347897, 43732616413433, 43732616478969",False,nan,https://applemintandcocoa.com//products/cashmere-girls-shorts,2026/02/22 12:53:51 PM,Size & Fit:Regular fit. Runs true to size.Do not size up or down if your child is of average size. Key Features: Elasticized waist band.Drawstring to secure fit.Two front pockets.100% Cotton,"Cashmere Cargo Girls Shorts - 2-3 Years / Shorts Only, 3-4 Years / Shorts Only, 4-5 Years / Shorts Only, 5-6 Years / Shorts Only, 6-7 Years / Shorts Only, 8-9 Years / Shorts Only, 10-11 Years / Shorts Only, 12-13 Years / Shorts Only: Size & Fit:Regular fit. Runs true to size.Do not size up or down if your child is of average size. Key Features: Elasticized waist band.Drawstring to secure fit.Two front pockets.100% Cotton"
Celestial Blue Cargo Kids’ Shorts,"2-3 Years / Shorts Only, 3-4 Years / Shorts Only, 4-5 Years / Shorts Only, 5-6 Years / Shorts Only, 6-7 Years / Shorts Only, 8-9 Years / Shorts Only, 10-11 Years / Shorts Only, 12-13 Years / Shorts Only, 14-15 Years / Shorts Only",540.0,celestial-blue-cargo-kids-shorts,shopify,"44546405695737, 44546405728505, 44546405761273, 44546405794041, 44546405826809, 44546405859577, 44546405892345, 44546405925113, 44546410086649",False,nan,https://applemintandcocoa.com//products/celestial-blue-cargo-kids-shorts,2026/02/22 12:53:52 PM,Size & Fit:Regular fit. Runs true to size.Do not size up or down if your child is of average size. Fabric:Single Jersey / Lycra Cotton Key Features: Elasticized waist band.Drawstring to secure fit.Two front pockets.Cargo Shorts.,"Celestial Blue Cargo Kids’ Shorts - 2-3 Years / Shorts Only, 3-4 Years / Shorts Only, 4-5 Years / Shorts Only, 5-6 Years / Shorts Only, 6-7 Years / Shorts Only, 8-9 Years / Shorts Only, 10-11 Years / Shorts Only, 12-13 Years / Shorts Only, 14-15 Years / Shorts Only: Size & Fit:Regular fit. Runs true to size.Do not size up or down if your child is of average size. Fabric:Single Jersey / Lycra Cotton Key Features: Elasticized waist band.Drawstring to secure fit.Two front pockets.Cargo Shorts."
Celestial Blue Cargo Men Shorts,"Medium / Shorts Only, Large / Shorts Only, X-Large / Shorts Only, XX-Large / Shorts Only",650.0,dark-celestial-cargo-men-shorts,shopify,"44546406809849, 44546406842617, 44546406875385, 44546406908153",False,nan,https://applemintandcocoa.com//products/dark-celestial-cargo-men-shorts,2026/02/22 12:53:44 PM,Key Features:100% CottonElasticized waist bandDrawstring to adjust fitSide pockets in shortsCargo shorts,"Celestial Blue Cargo Men Shorts - Medium / Shorts Only, Large / Shorts Only, X-Large / Shorts Only, XX-Large / Shorts Only: Key Features:100% CottonElasticized waist bandDrawstring to adjust fitSide pockets in shortsCargo shorts"
